Max: 3; Mean: 3; Variance: 0; Size: 1000; Time: 4.4127 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 4; Mean: 4; Variance: 0; Size: 1000; Time: 9.2028 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 5; Mean: 5; Variance: 0; Size: 1000; Time: 14.2212 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 6; Mean: 6; Variance: 0; Size: 1000; Time: 19.9052 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 7; Mean: 7; Variance: 0; Size: 1000; Time: 26.3128 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 8; Mean: 8; Variance: 0; Size: 1000; Time: 35.3248 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 9; Mean: 9; Variance: 0; Size: 1000; Time: 43.2162 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 10; Mean: 10; Variance: 0; Size: 1000; Time: 52.8783 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 11; Mean: 11; Variance: 0; Size: 1000; Time: 64.4096 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 12; Mean: 12; Variance: 0; Size: 1000; Time: 77.5348 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 13; Mean: 13; Variance: 0; Size: 1000; Time: 90.9674 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 14; Mean: 14; Variance: 0; Size: 1000; Time: 105.672 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 15; Mean: 15; Variance: 0; Size: 1000; Time: 123.07 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 16; Mean: 16; Variance: 0; Size: 1000; Time: 139.854 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 17; Mean: 17; Variance: 0; Size: 1000; Time: 159.382 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 18; Mean: 18; Variance: 0; Size: 1000; Time: 181.817 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 19; Mean: 19; Variance: 0; Size: 1000; Time: 203.06 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
